  
       XFOIL         Version 6.99
  
 Calculated polar for: SC1095                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.312     Re =     5.508 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0894   0.01518   0.01216  -0.0323   1.0000   0.0027
  -9.000  -0.9739   0.01169   0.00818  -0.0294   0.9910   0.0028
  -8.000  -0.8447   0.00954   0.00569  -0.0287   0.9730   0.0029
  -7.000  -0.7298   0.00822   0.00416  -0.0251   0.9535   0.0030
  -6.000  -0.6146   0.00735   0.00308  -0.0220   0.9063   0.0032
  -5.000  -0.4970   0.00677   0.00229  -0.0198   0.8425   0.0037
  -4.000  -0.3810   0.00582   0.00140  -0.0179   0.7898   0.0485
  -3.000  -0.2623   0.00559   0.00105  -0.0167   0.7050   0.0726
  -2.000  -0.1454   0.00578   0.00086  -0.0156   0.5366   0.0909
  -1.000  -0.0282   0.00602   0.00076  -0.0147   0.3812   0.1140
   0.000   0.0890   0.00600   0.00071  -0.0140   0.2784   0.2047
   2.000   0.3208   0.00572   0.00094  -0.0123   0.1399   0.5743
   4.000   0.5522   0.00577   0.00158  -0.0093   0.0868   0.8871
   5.000   0.6672   0.00616   0.00204  -0.0071   0.0703   0.9503
   6.000   0.7841   0.00665   0.00253  -0.0051   0.0606   0.9735
   7.000   0.9174   0.00735   0.00319  -0.0063   0.0474   0.9911
   8.000   1.0371   0.00944   0.00510  -0.0052   0.0040   1.0000
   9.000   1.1498   0.01071   0.00649  -0.0015   0.0033   1.0000
  10.000   1.2600   0.01250   0.00850   0.0029   0.0030   1.0000
